"spkid","a","e","i","om","w","ma"
20000944,5.728,0.6622,42.56,21.42,56.54,156.67
20002060,13.71,0.3774,6.92,209.30,339.26,204.96
20005145,20.28,0.5742,24.73,119.31,354.64,130.38
20005335,11.87,0.8663,61.83,314.16,191.08,299.92
20007066,24.55,0.5163,15.63,31.35,170.48,97.14
20008405,18.07,0.6179,17.62,5.91,290.74,104.28
20010199,15.76,0.1689,23.42,300.46,241.48,120.47
20010370,24.97,0.2448,4.14,178.27,5.50,85.49
20015504,9.371,0.7730,34.97,23.39,273.84,328.53
20020461,23.77,0.9011,160.42,297.25,102.32,77.41
20031824,11.75,0.3849,5.25,87.02,282.02,233.73
20032532,10.62,0.1979,20.38,205.16,86.91,266.18
20037117,6.879,0.5547,13.83,248.40,180.19,114.79
20049036,20.07,0.1322,9.34,126.86,154.68,127.77
20052872,8.37,0.3061,15.66,173.09,337.24,250.52
20052975,26.26,0.3789,12.63,51.80,301.78,93.61
20054598,16.58,0.2044,20.73,337.77,152.20,343.13
20055576,24.96,0.3915,13.35,315.52,238.84,62.92
20060558,10.76,0.4554,4.34,173.22,163.54,96.79
20063252,9.888,0.2968,12.41,280.55,129.51,320.18
20083982,19.41,0.2741,12.78,117.46,92.85,94.63
20088269,25.97,0.2375,4.36,14.67,266.78,19.80
20095626,23.01,0.2175,15.04,107.29,155.56,16.80
20119315,17.49,0.1735,17.44,16.13,304.77,155.59
20119976,23.99,0.3859,3.53,181.79,219.04,58.90
20120061,20.68,0.4716,19.76,78.59,116.03,69.54
20121725,17.92,0.4633,6.77,103.70,216.16,241.63
20136204,20.17,0.2593,11.18,4.64,70.76,53.53
20144908,8.148,0.5660,79.18,47.77,348.85,296.80
20145486,17.56,0.5323,3.80,262.89,207.87,69.94
20145627,6.501,0.2987,19.09,92.18,346.81,355.74
20148975,28.62,0.6738,12.65,105.96,90.19,33.78
20154783,14.26,0.7564,3.27,212.28,73.29,137.65
20160427,24.66,0.0424,12.26,162.50,178.41,90.60
20187661,23.97,0.4030,33.12,62.66,173.83,53.78
20248835,22.23,0.4600,36.23,280.02,71.24,49.32
20250112,12.58,0.3126,19.46,245.23,99.95,124.31
20281371,14.76,0.3090,27.10,245.54,142.55,66.98
20306173,5.908,0.5830,11.32,103.16,341.90,335.49
20308607,6.818,0.7358,29.34,190.06,308.58,346.47
20309139,15.86,0.3770,31.63,233.74,134.82,124.18
20309737,10.9,0.4388,6.07,234.45,182.86,149.19
20309741,27.2,0.6122,35.88,240.52,199.75,33.97
20310071,29.76,0.5649,19.70,46.84,108.00,32.48
20315898,8.356,0.3540,42.07,344.71,68.43,210.52
20318875,5.588,0.1676,8.53,23.45,53.32,120.70
20328884,13.15,0.3076,24.78,41.62,135.67,111.76
20330759,8.115,0.5635,170.33,348.44,354.74,230.20
20330836,21.38,0.4169,17.88,50.51,140.25,64.81
20332685,12.76,0.4438,23.24,72.16,240.67,87.82
20341275,20.03,0.2370,28.75,311.83,149.30,7.34
20342842,11.57,0.4411,105.14,112.47,330.27,124.78
20346889,10.77,0.4445,19.94,11.44,13.32,148.77
20347449,6.964,0.5680,12.09,178.75,326.93,183.04
20349933,12.03,0.4605,31.04,97.48,89.23,52.95
20365756,5.872,0.5249,20.25,219.31,266.31,347.70
20380282,5.688,0.2672,19.13,328.44,206.53,233.17
20382004,19.83,0.6900,26.99,113.76,291.67,48.82
20386968,21.43,0.4564,2.04,24.41,158.00,29.44
20389820,8.816,0.3723,6.47,101.18,22.09,154.07
20395699,15.06,0.3729,12.61,350.74,171.42,91.54
20427507,21.94,0.3669,22.47,156.99,327.00,92.38
20433873,7.082,0.2924,24.50,116.97,222.08,323.67
20434620,6.689,0.2540,172.20,174.91,180.81,28.52
20437313,12.91,0.5836,9.02,141.17,48.91,85.90
20447178,29.05,0.5220,35.46,198.09,326.28,344.66
20449097,20.35,0.3793,15.41,43.75,6.34,43.00
20459865,13.35,0.3697,22.56,266.61,288.19,25.60
20459870,10.94,0.4021,165.56,262.63,280.31,71.45
20459971,13.36,0.5627,3.94,94.35,195.72,81.97
20461363,5.789,0.1337,16.64,351.71,125.92,269.00
20463368,29.4,0.3128,15.04,252.50,264.40,332.71
20463663,18.61,0.6254,13.95,314.59,231.96,34.67
