,x,y,z,Vx,Vy,Vz
0,-57889646635.569916,17572724969.58998,-318392180138.47766,-23914.087546660445,-8928.297793158124,-3568.283244413222
1,2676965010811.553,326691401099.32117,787761637902.0507,701.9957129299437,4600.309525067143,-2827.891325962126
2,-1508710733160.2449,-1770423598365.8364,-1250673312264.7737,1959.382933461588,-7212.248067618896,-1053.155012516913
3,111170196586.33699,132309684476.85706,-484404855800.6773,-13672.902037099777,6783.452235019002,14428.75779339696
4,-1859495058559.1768,1733252388482.6199,-142074728656.05212,2444.690999094136,7887.47247784313,-317.9812589842818
5,1479903570877.719,282792087446.2411,-360463724654.74365,2632.3576025600937,3853.5490303347106,-10012.426086271664
6,1247711979890.3948,-1738447957817.3896,905613499978.1608,955.4171152129659,-4282.0367709697175,-6243.957431473289
7,-608869951740.7708,1751893666325.251,-2701138809276.258,6234.579204615696,1277.9541504052124,-2298.929051897271
8,-512212995569.26385,-151305953785.89038,25502504331.527878,7367.032616059133,17893.24450039212,5230.755242534374
9,-317569937116.5419,362370889421.4434,-23711550337.21562,6957.280637484239,21282.529749273464,3425.775008504197
10,-1131214012689.139,-1022512133814.106,-1833788385533.0642,1548.7182467318694,-4937.274509335597,3040.0868998053543
11,-1028687844783.9648,-393099682079.7818,-1418812143231.167,-4844.9838866282635,-2661.033552839709,5798.640615017021
12,87784080109.0711,421149641855.647,-209932016450.6285,-8293.05258233675,-3552.860746968896,-18549.877170761956
13,-2276797063446.6377,-2066372611915.6877,-229965206084.74924,-4934.477449316803,4158.020895082735,-109.79536807430206
14,1600127926077.7964,311142694917.83344,31532907609.012043,1208.2160179530902,-7427.453862924296,-454.1203721428149
15,793922558769.1145,3088279780799.6084,99677543453.54572,-5780.058130432788,3930.1067766631427,545.1006590065947
16,-938551058706.5864,-272608049823.5489,1809232012040.7295,-6558.345110991371,4104.797469062704,-3907.189801019077
17,-642463989318.1958,-1830526510275.1924,-1627344141104.3237,6351.117905704281,-5382.863705296584,557.739168468765
18,777806833507.6587,-300574837267.43994,535335194077.7532,-5066.394672690906,-4060.785624638843,11950.563449651654
19,1024408295715.404,-889617177345.4508,-24786346972.328903,4237.689634466042,9348.692777679076,-175.2479628296182
20,706895083470.5698,-2411588021400.0156,89342970605.7301,7642.037210464988,242.67539307718926,-1280.9318798307193
21,-38707314811.90619,1054494599180.7913,2772593870576.032,7239.796276267805,1759.0304278570902,-354.11987777598074
22,1476754123590.568,-2157559345199.4197,653373524322.1053,-4339.896472670878,-4453.730885800474,-4654.118588340142
23,411853022980.1736,589357968350.9576,-2794887671832.217,-5893.178764562266,-1360.100228958465,-2094.274068623236
24,300183668057.42053,-2210853567090.895,894849590689.9207,-8058.866701312907,-2692.004306287362,978.7733135367789
25,-600135412355.2139,-1753173453534.931,277553945417.0663,4698.842379199579,-5620.747386768346,-6741.433386145514
26,-2845141374619.745,26015584819.63086,1513805866287.576,2412.7679769628685,-5164.4370650365745,-604.3027477239044
27,-713296094422.213,344806950764.47943,-2189899149683.4998,-8179.795319499531,-923.6188109052771,1398.622858917286
28,-1228892912665.095,-281907320570.77155,373360237047.91534,4251.291103986553,8561.699310103892,1355.5751655315994
29,1126969646864.147,191637433867.6599,812160786232.6636,3431.8169162271074,-10724.106542428313,3487.579072079736
30,858579799657.3951,-379608018390.31,99777117406.58295,1551.4400602849441,11788.728727461752,301.84666925812644
31,-1116490662708.0933,-923670939337.7222,52711076826.53245,6242.195532198956,-10654.666153802114,-122.58521877500253
