,x,y,z,Vx,Vy,Vz,cloneOf
0,1751559714.2039063,-3456926343.311569,246326164.1896353,482634.714133728,109476.2178396123,-8976.213838163318,0
1,1599461642.771361,2815445389.636723,-488539100.076668,-425707.52401123155,305301.55384867295,25907.76064573091,1
2,2113589250.4252112,-2194363246.2332306,-202559648.35010183,496058.10087300383,383993.4151919301,18737.550600048893,2
3,903891142.1323743,-2592011801.1209784,-24853968.48062578,615807.2392814034,160013.38896546804,-170801.01850085275,3
4,846397232.1401687,3513152969.775961,-783198477.3593549,-496766.08404401114,143339.98445091,2752.0801407407325,4
5,-826415092.7805471,3181543248.928898,-468953680.0548484,-528695.9252680934,-281480.8604548026,-112765.84233858222,5
6,-3160863592.862852,-2004245938.8181636,783996112.5593066,317724.0735661786,-313683.1098214989,154260.87444414067,6
7,2821373032.317093,755274961.0059537,-155689945.09542078,-154734.91674942907,611210.4663078237,-61318.79016385596,7
8,-2640924177.9129353,-1150160973.555051,144798162.65369442,214051.29871138596,-573342.9897374732,56986.93745174422,8
9,3788999916.439966,-1688327844.1378205,-154365873.42855513,232532.90090659857,385013.2572811829,-113770.99228570957,9
10,498027587.82218474,-2786119255.146779,1053366581.8582612,561329.3778722866,74015.02014670399,77270.73913936736,10
11,2262817182.4369984,-799323547.3051833,-1524044721.7410824,63316.72210803697,621727.4060956204,-214165.52860860107,11
12,1928979215.0252817,3124279806.9481473,-24136499.38385635,-376537.4684997112,291539.565147677,24816.497602230662,12
13,-1669955851.9758682,-3760819363.8754225,1037021615.2862774,415285.1618654218,-141770.99359123528,-47467.03375293492,13
14,-28157600.151179075,-3093382789.4130955,833698326.5761712,545180.1350681781,-207387.73501209833,-121649.29454670823,14
15,2615569052.65287,2762527108.3677654,-1232758320.4814324,-341078.26549221907,352379.6532009708,6740.123019881183,15
16,-3525686867.770971,-511275216.127689,1143772693.5471234,109640.69186749977,-520097.8204548933,69785.12135969459,16
17,-2444825461.428749,-820145895.7344394,-286178568.64776516,177753.5062681587,-665472.6473989859,162718.7363495183,17
18,-2484295684.1635013,1234601538.0936732,95062901.42776886,-177381.28317189717,-653637.0245475476,133465.31509170882,18
19,2458179531.052298,669534839.6153121,353420455.9861123,-125588.37127882485,709827.5328734634,-111866.83965304526,19
20,-1066762302.953306,-3190843282.7251177,524664868.29547065,500229.2396367799,-269285.2411310071,-97486.25290006724,20
